subject,num,unit,alp,cz,ns,qs,ss,cci,ei,sts,fl,r,w,rating,description
AAAS,103,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.1,INTRO TO AFRICAN STUDIES
AAAS,134,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,OLD WORLDS/NEW HISTORIES
AAAS,139,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.6,HISTORY OF ROCK
AAAS,140,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.7,INTRODUCTION TO JAZZ
AAAS,190,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.5,FOCUS SEMINARS (TOP)
AAAS,196,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.6,PATIENT ACTIVISM AND ADVOCACY
AAAS,210,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.2,MODERN AFRICA
AAAS,211,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,ANTHROPOLOGY OF MONEY
AAAS,213,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.1,GLOBAL BRAZIL
AAAS,214,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.9,SOUTH AFRICA: PAST AND FUTURE
AAAS,217,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.4,THE ATLANTIC SLAVE TRADE
AAAS,218,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,CARIBBEAN 1492-1700
AAAS,220,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,W AFR ROOTHOLDS IN DANCE
AAAS,224,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3.3,AFRICAN DIASPORA LITERATURE
AAAS,227,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,AFRICAN AMERICAN ART
AAAS,228,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4.7,FICTIONS THAT MARK THE MOMENT
AAAS,232,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,"RACE, POWER, AND IDENTITY"
AAAS,234,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.5,COMPARATIVE URBAN POLITICS
AAAS,237,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.1,RESEARCH IN URBAN POLITICS
AAAS,239,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.5,RACIAL ATTITUDES AND PREJUDICE
AAAS,242,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.3,"RACE, GENDER, AND SEXUALITY"
AAAS,247,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.3,SOCIAL MOVEMENTS/SOCIAL MEDIA
AAAS,257,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.7,RACIAL/ETH MINORITIES AMER POL
AAAS,269,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.8,BLACK GODS AND KINGS
AAAS,290,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,SPECIAL TOPCS
AAAS,316,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3.6,APARTHEID S-AFRICA/DEMOCRACY
AAAS,322,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TONI MORRISON
AAAS,325,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3.6,HIP-HOP PRODUCTION
AAAS,331,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.8,BLACK POPULAR CULTURE
AAAS,332,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,BLACK THEATER WORKSHOP
AAAS,343,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,MIGRATION & HUMAN TRAFFICKING
AAAS,345,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.8,MASS INCARCERATION/CITIZENSHIP
AAAS,347,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.3,WHITE PEOPLE
AAAS,407,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4.4,CAP SEM: GLOBALIZATION ASIA
AAAS,420,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.9,ROLE RACE/CULTURE ON DEVL
AEROSCI,101,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.1,HERITAGE/VALUES US AIR FORCE
AEROSCI,201,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.7,TEAM & LEADERSHIP FUNDAMENTALS
AEROSCI,301,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.4,LEADING PEOPLE/EFFECTIVE COMM
AEROSCI,99,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.9,LEADERSHIP LABORATORY
AMES,111,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1,"SELF, SOCIETY, ART IN HINDUISM"
