Class_Name,Description,Type,id,Professor,Time,Unit,Attributes,Subject,Number
AAAS 103,INTRO TO AFRICAN STUDIES,lec,1,Charles D Piot,TuTh 1:25PM - 2:40PM,1.0,"CCI,C,ALP,CZ",AAAS,103
AAAS 134,OLD WORLDS/NEW HISTORIES,lec,1,Vasant Kaiwar,WF 11:45AM - 1:00PM,1.0,"CCI,C,CZ,SS",AAAS,134
AAAS 139,HISTORY OF ROCK,lec,1,Nicholas Stoia,TuTh 3:05PM - 4:20PM,1.0,"ALP,CZ",AAAS,139
AAAS 140,INTRODUCTION TO JAZZ,lec,1,John V Brown Jr.,MW 4:40PM - 5:55PM,1.0,"CCI,C,ALP",AAAS,140
AAAS 190FS,FOCUS SEMINARS (TOP),lec,1,Mark A Neal,TuTh 11:45AM - 1:00PM,1.0,,AAAS,190
AAAS 196FS,PATIENT ACTIVISM AND ADVOCACY,lec,1,Misha Angrist,TuTh 1:25PM - 2:40PM,1.0,"STS,W,C,SS",AAAS,196
AAAS 210,MODERN AFRICA,lec,1,Departmental Staff,WF 8:30AM - 9:45AM,1.0,"CCI,C,CZ,SS",AAAS,210
AAAS 211,ANTHROPOLOGY OF MONEY,lec,1,Charles D Piot,TuTh 10:05AM - 11:20AM,1.0,"CCI,EI,C,CZ,SS",AAAS,211
AAAS 213,GLOBAL BRAZIL,lec,1,John D French,TuTh 11:45AM - 1:00PM,1.0,"CCI,C,CZ,SS",AAAS,213
AAAS 214,SOUTH AFRICA: PAST AND FUTURE,lec,1,Karin Shapiro,MW 10:05AM - 11:20AM,1.0,"CCI,EI,C,CZ,SS",AAAS,214
AAAS 217S,THE ATLANTIC SLAVE TRADE,lec,1,Barry Gaspar,MW 4:40PM - 5:55PM,1.0,"CCI,R,C,CZ",AAAS,217
AAAS 218,CARIBBEAN 1492-1700,lec,1,Barry Gaspar,MW 1:25PM - 2:40PM,1.0,"CCI,C,CZ",AAAS,218
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lec,1,Ava Vinesett,W 10:05AM - 11:20AM,1.0,"CCI,C,ALP,CZ",AAAS,220
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lab,1,Ava Vinesett,TuTh 4:40PM - 5:55PM,1.0,"CCI,C,ALP,CZ",AAAS,220
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lab,2,Ava Vinesett,MW 6:15PM - 7:30PM,1.0,"CCI,C,ALP,CZ",AAAS,220
AAAS 224,AFRICAN DIASPORA LITERATURE,lec,1,Tsitsi Jaji,TuTh 1:25PM - 2:40PM,1.0,"CCI,EI,W,C,ALP,CZ",AAAS,224
AAAS 227,AFRICAN AMERICAN ART,lec,1,Richard J Powell,MW 10:05AM - 11:20AM,1.0,"CCI,R,C,ALP,CZ",AAAS,227
AAAS 228S,FICTIONS THAT MARK THE MOMENT,lec,1,Wahneema Lubiano,MW 3:05PM - 4:20PM,1.0,"CCI,EI,R,C,ALP,CZ",AAAS,228
AAAS 232,"RACE, POWER, AND IDENTITY",lec,1,Martin Paul Smith,TuTh 3:05PM - 4:20PM,1.0,"CCI,EI,R,C,SS",AAAS,232
AAAS 234S,COMPARATIVE URBAN POLITICS,lec,1,"Kerry L Haynie, Ralph Bruce Lawrence",Th 10:05AM - 12:35PM,1.0,"CCI,EI,C,SS",AAAS,234
AAAS 237S,RESEARCH IN URBAN POLITICS,lec,1,Kerry L Haynie,Tu 10:05AM - 12:35PM,1.0,"CCI,R,W,C,TR,SS",AAAS,237
AAAS 239,RACIAL ATTITUDES AND PREJUDICE,lec,1,Ashley Jardina,TuTh 3:05PM - 4:20PM,1.0,"CCI,EI,SS",AAAS,239
AAAS 242S,"RACE, GENDER, AND SEXUALITY",lec,1,Patrice D Douglass,WF 10:05AM - 11:20AM,1.0,"CCI,C,SS",AAAS,242
