Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
AAAS 103,INTRO TO AFRICAN STUDIES,lec,1,Charles D Piot,,1,"CCI,C,ALP,CZ",AAAS,103,1,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AAAS 134,OLD WORLDS/NEW HISTORIES,lec,1,Vasant Kaiwar,,1,"CCI,C,CZ,SS",AAAS,134,1,FALSE,FALSE,TRUE,FALSE,TRUE,11:45AM,1:00PM,,,,,,,,,,,,
AAAS 139,HISTORY OF ROCK,lec,1,Nicholas Stoia,,1,"ALP,CZ",AAAS,139,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AAAS 140,INTRODUCTION TO JAZZ,lec,1,John V Brown Jr.,,1,"CCI,C,ALP",AAAS,140,1,TRUE,FALSE,TRUE,FALSE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AAAS 190FS,FOCUS SEMINARS (TOP),lec,1,Mark A Neal,,1,,AAAS,190,1,FALSE,TRUE,FALSE,TRUE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AAAS 196FS,PATIENT ACTIVISM AND ADVOCACY,lec,1,Misha Angrist,,1,"STS,W,C,SS",AAAS,196,1,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AAAS 210,MODERN AFRICA,lec,1,Departmental Staff,,1,"CCI,C,CZ,SS",AAAS,210,1,FALSE,FALSE,TRUE,FALSE,TRUE,8:30AM,9:45AM,,,,,,,,,,,,
AAAS 211,ANTHROPOLOGY OF MONEY,lec,1,Charles D Piot,,1,"CCI,EI,C,CZ,SS",AAAS,211,1,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AAAS 213,GLOBAL BRAZIL,lec,1,John D French,,1,"CCI,C,CZ,SS",AAAS,213,1,FALSE,TRUE,FALSE,TRUE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AAAS 214,SOUTH AFRICA: PAST AND FUTURE,lec,1,Karin Shapiro,,1,"CCI,EI,C,CZ,SS",AAAS,214,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AAAS 217S,THE ATLANTIC SLAVE TRADE,lec,1,Barry Gaspar,,1,"CCI,R,C,CZ",AAAS,217,1,TRUE,FALSE,TRUE,FALSE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AAAS 218,CARIBBEAN 1492-1700,lec,1,Barry Gaspar,,1,"CCI,C,CZ",AAAS,218,1,TRUE,FALSE,TRUE,FALSE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lec,1,Ava Vinesett,,1,"CCI,C,ALP,CZ",AAAS,220,1,FALSE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lab,1,Ava Vinesett,,1,"CCI,C,ALP,CZ",AAAS,220,0,FALSE,TRUE,FALSE,TRUE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AAAS 220SL,W AFR ROOTHOLDS IN DANCE,lab,2,Ava Vinesett,,1,"CCI,C,ALP,CZ",AAAS,220,0,TRUE,FALSE,TRUE,FALSE,FALSE,6:15PM,7:30PM,,,,,,,,,,,,
AAAS 224,AFRICAN DIASPORA LITERATURE,lec,1,Tsitsi Jaji,,1,"CCI,EI,W,C,ALP,CZ",AAAS,224,1,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AAAS 227,AFRICAN AMERICAN ART,lec,1,Richard J Powell,,1,"CCI,R,C,ALP,CZ",AAAS,227,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AAAS 228S,FICTIONS THAT MARK THE MOMENT,lec,1,Wahneema Lubiano,,1,"CCI,EI,R,C,ALP,CZ",AAAS,228,1,TRUE,FALSE,TRUE,FALSE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AAAS 232,"RACE, POWER, AND IDENTITY",lec,1,Martin Paul Smith,,1,"CCI,EI,R,C,SS",AAAS,232,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AAAS 234S,COMPARATIVE URBAN POLITICS,lec,1,"Kerry L Haynie, Ralph Bruce Lawrence",,1,"CCI,EI,C,SS",AAAS,234,1,FALSE,FALSE,FALSE,TRUE,FALSE,10:05AM,12:35PM,,,,,,,,,,,,
AAAS 237S,RESEARCH IN URBAN POLITICS,lec,1,Kerry L Haynie,,1,"CCI,R,W,C,TR,SS",AAAS,237,1,FALSE,TRUE,FALSE,FALSE,FALSE,10:05AM,12:35PM,,,,,,,,,,,,
AAAS 239,RACIAL ATTITUDES AND PREJUDICE,lec,1,Ashley Jardina,,1,"CCI,EI,SS",AAAS,239,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AAAS 242S,"RACE, GENDER, AND SEXUALITY",lec,1,Patrice D Douglass,,1,"CCI,C,SS",AAAS,242,1,FALSE,FALSE,TRUE,FALSE,TRUE,10:05AM,11:20AM,,,,,,,,,,,,
AAAS 247S,SOCIAL MOVEMENTS/SOCIAL MEDIA,lec,1,Negar Mottahedeh,,1,"CCI,EI,STS,C,ALP,CZ",AAAS,247,1,FALSE,FALSE,TRUE,FALSE,TRUE,11:45AM,1:00PM,,,,,,,,,,,,
AAAS 257,RACIAL/ETH MINORITIES AMER POL,lec,1,Ashley Jardina,,1,"CCI,C,SS",AAAS,257,1,FALSE,FALSE,TRUE,FALSE,TRUE,1:25PM,2:40PM,,,,,,,,,,,,
AAAS 269,BLACK GODS AND KINGS,lec,1,James Lorand Matory,,1,"CCI,EI,C,CZ,SS",AAAS,269,1,FALSE,FALSE,FALSE,TRUE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AAAS 290,SPECIAL TOPCS,lec,1,"Kerry L Haynie, Ralph Bruce Lawrence",,1,,AAAS,290,1,TRUE,FALSE,FALSE,FALSE,FALSE,10:05AM,12:35PM,,,,,,,,,,,,
AAAS 316S,APARTHEID S-AFRICA/DEMOCRACY,lec,1,Karin Shapiro,,1,"CCI,EI,R,C,CZ,SS",AAAS,316,1,TRUE,FALSE,FALSE,FALSE,FALSE,1:25PM,3:55PM,,,,,,,,,,,,
AAAS 322S,TONI MORRISON,lec,1,Joseph Winters,,1,"CCI,EI,C,ALP,CZ",AAAS,322,1,FALSE,TRUE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AAAS 325S,HIP-HOP PRODUCTION,lec,1,Patrick Douthit,,1,"EI,STS,C,ALP",AAAS,325,1,FALSE,FALSE,TRUE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AAAS 331,BLACK POPULAR CULTURE,lec,1,Mark A Neal,,1,"CCI,C,CZ",AAAS,331,1,FALSE,TRUE,FALSE,TRUE,FALSE,6:15PM,7:30PM,,,,,,,,,,,,
AAAS 332,BLACK THEATER WORKSHOP,lec,1,Thomas F DeFrantz,,1,"CCI,C,ALP",AAAS,332,1,TRUE,FALSE,FALSE,FALSE,FALSE,6:15PM,8:45PM,,,,,,,,,,,,
