Format:

Course_Nmbr (unique) | Course Name | Course Description | Section Number (No number means lecture, D for discussion, L for lab) | Teacher(s) | Time

000082|AAAS 103|INTRO TO AFRICAN STUDIES|01|Charles D Piot|TuTh 1:25PM - 2:40PM
000082|CULANTH 105|INTRO TO AFRICAN STUDIES|01|Charles D Piot|TuTh 1:25PM - 2:40PM
000082|HISTORY 129|INTRO TO AFRICAN STUDIES|01|Charles D Piot|TuTh 1:25PM - 2:40PM
000082|ICS 110|INTRO TO AFRICAN STUDIES|01|Charles D Piot|TuTh 1:25PM - 2:40PM
000082|POLSCI 108|INTRO TO AFRICAN STUDIES|01|Charles D Piot|TuTh 1:25PM - 2:40PM
020130|AAAS 134|OLD WORLDS/NEW HISTORIES|01|Vasant Kaiwar|WF 11:45AM - 1:00PM
020130|HISTORY 105|OLD WORLDS/NEW HISTORIES|01|Vasant Kaiwar|WF 11:45AM - 1:00PM
020130|MEDREN 105|OLD WORLDS/NEW HISTORIES|01|Vasant Kaiwar|WF 11:45AM - 1:00PM
021427|AAAS 139|HISTORY OF ROCK|01|Nicholas Stoia|TuTh 3:05PM - 4:20PM
021427|HISTORY 108|HISTORY OF ROCK|01|Nicholas Stoia|TuTh 3:05PM - 4:20PM
021427|MUSIC 143|HISTORY OF ROCK|01|Nicholas Stoia|TuTh 3:05PM - 4:20PM
018580|AAAS 140|INTRODUCTION TO JAZZ|01|John V Brown Jr.|MW 4:40PM - 5:55PM
018580|MUSIC 140|INTRODUCTION TO JAZZ|01|John V Brown Jr.|MW 4:40PM - 5:55PM
018192|AAAS 190FS|FOCUS SEMINARS (TOP)|01|Mark A Neal|TuTh 11:45AM - 1:00PM
025265|AAAS 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|CULANTH 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|GLHLTH 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|PSY 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|PUBPOL 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|SCISOC 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
025265|SOCIOL 196FS|PATIENT ACTIVISM AND ADVOCACY|01|Misha Angrist|TuTh 1:25PM - 2:40PM
005186|AAAS 210|MODERN AFRICA|01|Departmental Staff|WF 8:30AM - 9:45AM
005186|HISTORY 204|MODERN AFRICA|01|Departmental Staff|WF 8:30AM - 9:45AM
005186|ICS 268|MODERN AFRICA|01|Departmental Staff|WF 8:30AM - 9:45AM
024695|AAAS 211|ANTHROPOLOGY OF MONEY|01|Charles D Piot|TuTh 10:05AM - 11:20AM
024695|CULANTH 350|ANTHROPOLOGY OF MONEY|01|Charles D Piot|TuTh 10:05AM - 11:20AM
024695|ECON 309|ANTHROPOLOGY OF MONEY|01|Charles D Piot|TuTh 10:05AM - 11:20AM
024695|ICS 328|ANTHROPOLOGY OF MONEY|01|Charles D Piot|TuTh 10:05AM - 11:20AM
024695|PUBPOL 306|ANTHROPOLOGY OF MONEY|01|Charles D Piot|TuTh 10:05AM - 11:20AM
022535|AAAS 213|GLOBAL BRAZIL|01|John D French|TuTh 11:45AM - 1:00PM
022535|HISTORY 328|GLOBAL BRAZIL|01|John D French|TuTh 11:45AM - 1:00PM
022535|LATAMER 328|GLOBAL BRAZIL|01|John D French|TuTh 11:45AM - 1:00PM
022535|RIGHTS 328|GLOBAL BRAZIL|01|John D French|TuTh 11:45AM - 1:00PM
019171|AAAS 214|SOUTH AFRICA: PAST AND FUTURE|01|Karin Shapiro|MW 10:05AM - 11:20AM
019171|HISTORY 208|SOUTH AFRICA: PAST AND FUTURE|01|Karin Shapiro|MW 10:05AM - 11:20AM
019171|POLSCI 221|SOUTH AFRICA: PAST AND FUTURE|01|Karin Shapiro|MW 10:05AM - 11:20AM
005330|AAAS 217S|THE ATLANTIC SLAVE TRADE|01|Barry Gaspar|MW 4:40PM - 5:55PM
005330|HISTORY 316S|THE ATLANTIC SLAVE TRADE|01|Barry Gaspar|MW 4:40PM - 5:55PM
005330|ICS 209S|THE ATLANTIC SLAVE TRADE|01|Barry Gaspar|MW 4:40PM - 5:55PM
005211|AAAS 218|CARIBBEAN 1492-1700|01|Barry Gaspar|MW 1:25PM - 2:40PM
005211|HISTORY 318|CARIBBEAN 1492-1700|01|Barry Gaspar|MW 1:25PM - 2:40PM
005211|MEDREN 255|CARIBBEAN 1492-1700|01|Barry Gaspar|MW 1:25PM - 2:40PM
012954|AAAS 220SL|W AFR ROOTHOLDS IN DANCE|001|Ava Vinesett|W 10:05AM - 11:20AM
012954|AAAS 220SL|W AFR ROOTHOLDS IN DANCE|01L|Ava Vinesett|TuTh 4:40PM - 5:55PM
012954|AAAS 220SL|W AFR ROOTHOLDS IN DANCE|02L|Staff|MW 6:15PM - 7:30PM
012954|DANCE 335SL|W AFR ROOTHOLDS IN DANCE|001|Ava Vinesett|W 10:05AM - 11:20AM
012954|DANCE 335SL|W AFR ROOTHOLDS IN DANCE|01L|Ava Vinesett|TuTh 4:40PM - 5:55PM
012954|DANCE 335SL|W AFR ROOTHOLDS IN DANCE|02L|Staff|MW 6:15PM - 7:30PM
012954|RELIGION 240SL|W AFR ROOTHOLDS IN DANCE|001|Ava Vinesett|W 10:05AM - 11:20AM
012954|RELIGION 240SL|W AFR ROOTHOLDS IN DANCE|01L|Ava Vinesett|TuTh 4:40PM - 5:55PM
012954|RELIGION 240SL|W AFR ROOTHOLDS IN DANCE|02L|Staff|MW 6:15PM - 7:30PM
003931|AAAS 224|AFRICAN DIASPORA LITERATURE|01|Tsitsi Jaji|TuTh 1:25PM - 2:40PM
003931|ENGLISH 276|AFRICAN DIASPORA LITERATURE|01|Tsitsi Jaji|TuTh 1:25PM - 2:40PM
000610|AAAS 227|AFRICAN AMERICAN ART|01|Richard J Powell|MW 10:05AM - 11:20AM
000610|ARTHIST 283|AFRICAN AMERICAN ART|01|Richard J Powell|MW 10:05AM - 11:20AM
023652|AAAS 228S|FICTIONS THAT MARK THE MOMENT|01|Wahneema Lubiano|MW 3:05PM - 4:20PM
023652|ENGLISH 379S|FICTIONS THAT MARK THE MOMENT|01|Wahneema Lubiano|MW 3:05PM - 4:20PM
023652|LIT 382S|FICTIONS THAT MARK THE MOMENT|01|Wahneema Lubiano|MW 3:05PM - 4:20PM
024711|AAAS 232|RACE, POWER, AND IDENTITY|01|Martin Paul Smith|TuTh 3:05PM - 4:20PM
