tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Mathematics,1350,Duke University,Amir,,Aazami,1671448,7,good,TEACHER,PROFESSOR,4.9
Mathematics,1350,Duke University,Kobi,,Abayomi,1116942,21,average,TEACHER,PROFESSOR,2.9
Economics,1350,Duke University,Atila,,Abdulkadiroglu,1556704,16,average,TEACHER,PROFESSOR,2.8
Art History,1350,Duke University,Stanley,,Abe,737020,6,average,TEACHER,PROFESSOR,2.8
Mathematics,1350,Duke University,Michael,,Abel,2236834,9,good,TEACHER,PROFESSOR,4.7
Biology,1350,Duke University,Mohamed,,Abou-Donia,2086719,3,average,TEACHER,PROFESSOR,3.0
Statistics,1350,Duke University,Tavis,,Abrahamsen,2198522,11,average,TEACHER,PROFESSOR,3.1
Public Policy,1350,Duke University,Bill,,Adair,1845846,9,good,TEACHER,PROFESSOR,4.7
Mathematics,1350,Duke University,Henry,,Adams,1993192,2,good,TEACHER,PROFESSOR,5.0
Film,1350,Duke University,Morgan,,Adamson,1781762,1,average,TEACHER,PROFESSOR,3.0
Mathematics,1350,Duke University,Nicolas,,Addington,1930456,5,poor,TEACHER,PROFESSOR,2.3
Public Policy,1350,Duke University,Catherine,,Admay,981589,13,good,TEACHER,PROFESSOR,4.3
Spanish,1350,Duke University,Francisco,,Adrian,1432949,6,average,TEACHER,PROFESSOR,3.4
English,1350,Duke University,David,,Aers,516492,19,good,TEACHER,PROFESSOR,4.6
Computer Science,1350,Duke University,Pankaj,,Agarwal,897005,7,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Andrea,,Agazzi,2458682,0,zero,TEACHER,PROFESSOR,N/A
Languages,1350,Duke University,Jaditza,,Aguilar-Castro,488960,5,poor,TEACHER,PROFESSOR,1.8
Writing,1350,Duke University,Jennifer,,Ahern,240396,13,good,TEACHER,PROFESSOR,4.2
Writing,1350,Duke University,Daniel,,Ahlquist,1950623,18,good,TEACHER,PROFESSOR,4.9
Humanities,1350,Duke University,Lamonte,,Aidoo,2357105,7,good,TEACHER,PROFESSOR,4.1
Education,1350,Duke University,Zoila,,Airall,2339146,0,zero,TEACHER,PROFESSOR,N/A
Statistics,1350,Duke University,Olanrewaju,,Akande,2387246,3,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Victoria,S,Akin,2291835,5,good,TEACHER,PROFESSOR,5.0
Chemistry,1350,Duke University,Hashim,,Al-Hashimi,2449640,0,zero,TEACHER,PROFESSOR,N/A
Spanish,1350,Duke University,Juan,,Albarran,1875714,1,good,TEACHER,PROFESSOR,4.0
Biology,1350,Duke University,Susan,,Alberts,783370,10,average,TEACHER,PROFESSOR,3.3
Engineering,1350,Duke University,John,,Albertson,972837,7,good,TEACHER,PROFESSOR,4.2
Science,1350,Duke University,Elizabeth,A,Albright,2295222,1,good,TEACHER,PROFESSOR,5.0
Public Policy,1350,Duke University,Betsy,,Alden,870851,1,good,TEACHER,PROFESSOR,5.0
Economics,1350,Duke University,Eric,,Aldrich,1002777,5,average,TEACHER,PROFESSOR,3.1
Political Science,1350,Duke University,John,,Aldrich,1962437,2,average,TEACHER,PROFESSOR,2.5
Psychology,1350,Duke University,Susan,,Alexander,967396,7,good,TEACHER,PROFESSOR,4.1
Medicine,1350,Duke University,Stewart,C,Alexander,1863043,3,good,TEACHER,PROFESSOR,5.0
Anthropology,1350,Duke University,Kelly,,Alexander,2551425,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,William,,Allard,585452,15,poor,TEACHER,PROFESSOR,1.6
Womens Studies,1350,Duke University,Leah,,Allen,1227874,4,good,TEACHER,PROFESSOR,4.8
Mathematics,1350,Duke University,Andrew,,Allen,2037580,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1350,Duke University,Anne,,Allison,239745,23,good,TEACHER,PROFESSOR,3.7
Education,1350,Duke University,Kate,,Allman,1844486,7,good,TEACHER,PROFESSOR,4.4
Mathematics,1350,Duke University,Justin,,Allman,2074226,4,good,TEACHER,PROFESSOR,4.2
Electrical Engineering,1350,Duke University,Javier,,Alonso,1872381,1,poor,TEACHER,PROFESSOR,1.5
Physical Education,1350,Duke University,Franca,,Alphin,1228148,8,average,TEACHER,PROFESSOR,2.8
Marketing,1350,Duke University,Kathie,,Amato,2181148,4,average,TEACHER,PROFESSOR,3.0
